backend,spec,run_idx,elapsed_ns,gen_lines
c,crc16,3,1555782,95
c,crc16,4,1621518,95
c,byte_utils,0,1568915,100
c,byte_utils,1,1521701,100
c,byte_utils,2,1510056,100
c,byte_utils,3,1596066,100
c,byte_utils,4,1550507,100
c,mesh_routing,0,1703515,175
c,mesh_routing,1,1668067,175
c,mesh_routing,2,1724114,175
c,mesh_routing,3,1787789,175
c,mesh_routing,4,1703216,175
c,key_management,0,1947903,271
c,key_management,1,1964005,271
c,key_management,2,1922121,271
c,key_management,3,1962218,271
c,key_management,4,1903915,271
c,frame_buffer,0,1528468,109
c,frame_buffer,1,1560190,109
c,frame_buffer,2,1554852,109
c,frame_buffer,3,1549139,109
c,frame_buffer,4,1629550,109
c,packet_queue,0,1611764,145
c,packet_queue,1,1605319,145
c,packet_queue,2,1590594,145
c,packet_queue,3,1635096,145
c,packet_queue,4,1672294,145
c,congestion_control,0,1722847,214
c,congestion_control,1,1685407,214
c,congestion_control,2,1972421,214
c,congestion_control,3,1799585,214
c,congestion_control,4,1749786,214
c,flow_control,0,1726697,225
c,flow_control,1,1709577,225
c,flow_control,2,1733478,225
c,flow_control,3,1689021,225
c,flow_control,4,1748417,225
c,self_healing,0,1924533,292
c,self_healing,1,1904440,292
c,self_healing,2,1843649,292
c,self_healing,3,1850623,292
c,self_healing,4,1871934,292
c,trust_manager,0,1747022,112
c,trust_manager,1,1713638,112
c,trust_manager,2,1755311,112
c,trust_manager,3,1807234,112
c,trust_manager,4,1719837,112
c,timer,0,1516058,118
c,timer,1,1507370,118
c,timer,2,1557910,118
c,timer,3,1493365,118
c,timer,4,1511993,118
c,transport_tx_fsm,0,1688134,238
c,transport_tx_fsm,1,1764781,238
c,transport_tx_fsm,2,1709164,238
c,transport_tx_fsm,3,1720254,238
c,transport_tx_fsm,4,1731392,238
c,redundancy_management,0,1984531,297
c,redundancy_management,1,1958599,297
c,redundancy_management,2,1964715,297
c,redundancy_management,3,1976594,297
c,redundancy_management,4,1969890,297
c,fault_detection,0,1855061,272
c,fault_detection,1,1843096,272
c,fault_detection,2,1921572,272
c,fault_detection,3,1842052,272
c,fault_detection,4,1892707,272
c,lite_crypto,0,1622392,135
c,lite_crypto,1,1661100,135
c,lite_crypto,2,1626176,135
c,lite_crypto,3,1594830,135
c,lite_crypto,4,1588829,135
c,network_metrics,0,1568242,106
c,network_metrics,1,1475063,106
c,network_metrics,2,1493785,106
c,network_metrics,3,1490140,106
c,network_metrics,4,1498256,106
c,m3_multihop,0,1549941,87
c,m3_multihop,1,1512206,87
c,m3_multihop,2,1504637,87
c,m3_multihop,3,1533286,87
c,m3_multihop,4,1588203,87
c,link_statistics,0,1499468,81
c,link_statistics,1,1516422,81
c,link_statistics,2,1504729,81
c,link_statistics,3,1494987,81
c,link_statistics,4,1518677,81
c,access_control,0,1795106,240
c,access_control,1,1786918,240
c,access_control,2,1867625,240
c,access_control,3,1812552,240
c,access_control,4,1756800,240
c,bandwidth_allocator,0,2099422,325
c,bandwidth_allocator,1,2030334,325
c,bandwidth_allocator,2,2080046,325
c,bandwidth_allocator,3,2014967,325
